Date;Count;Minimum;Maximum;Range;Mean;Standard Deviation;Variance;Upper Quartile;Upper 1.5 IQR;Median;Lower 1.5 IQR;Lower Quartile
2020-01-01;1072.0;0.0115;0.8521;(0.0115,0.8521);0.5039;0.164;0.0269;0.6165;0.8521;0.5288;0.1209;0.417
2020-01-17;1050.0;-0.0117;0.948;(-0.0117,0.948);0.4959;0.16;0.0256;0.594;0.8681;0.5204;0.1429;0.411
2020-02-02;1058.0;-0.1914;0.8741;(-0.1914,0.8741);0.4945;0.1699;0.0289;0.6036;0.8741;0.5248;0.1092;0.405
2020-02-18;1069.0;-0.0512;0.8356;(-0.0512,0.8356);0.4961;0.1673;0.028;0.6003;0.8356;0.5286;0.1384;0.4136
2020-03-05;1072.0;-0.0106;0.8725;(-0.0106,0.8725);0.4871;0.1621;0.0263;0.5838;0.8584;0.5076;0.1225;0.3981
2020-03-21;1068.0;-0.186;0.8786;(-0.186,0.8786);0.4901;0.1664;0.0277;0.5941;0.8786;0.5135;0.1037;0.3939
2020-04-06;1047.0;-0.1859;0.8719;(-0.1859,0.8719);0.5061;0.1491;0.0222;0.5986;0.829;0.5195;0.1896;0.4327
2020-05-08;1062.0;-0.0625;0.9047;(-0.0625,0.9047);0.5578;0.1611;0.0259;0.6552;0.9047;0.582;0.2395;0.4873
2020-05-24;1055.0;-0.0271;0.8836;(-0.0271,0.8836);0.5617;0.169;0.0286;0.667;0.8836;0.5899;0.2213;0.4872
2020-06-09;1050.0;0.0131;0.9657;(0.0131,0.9657);0.5968;0.164;0.0269;0.6966;0.9322;0.6255;0.2696;0.5258
2020-06-25;1065.0;-0.1025;0.9257;(-0.1025,0.9257);0.5803;0.1656;0.0274;0.6794;0.9159;0.6064;0.2798;0.5184
2020-07-11;1054.0;-0.1605;0.9196;(-0.1605,0.9196);0.5745;0.1523;0.0232;0.6694;0.9061;0.5943;0.2764;0.5114
